serie_id,min_date,max_date,n_rows,n_unique_dates,expected,gaps,y_na,y_na_pct,y_mean,y_sd,seasonality_lag12_cor
EJE CAFETERO | SUPER CADENA | COLANTA | QUESOS | COLANTA | FILADOS | TROZOS | 300-499 GRS,2025-08-01,2026-01-01,6,6,6,0,0,0,15.3,5.411260030713733,NA
EJE CAFETERO | SUPERETES | ALIVAL | BEBIDAS LACTEAS | SAN FERNANDO | AVENA | CAJA ASEPTICA | 500-999 CC,2025-08-01,2026-01-01,6,6,6,0,0,0,46.772616666666664,15.566341190840788,NA
LLANOS | SUPER CADENA | COLANTA | LECHE SABORIZADA | FRESCOLANTA | FRESA | BOLSA | 200-249 CC,2025-08-01,2026-01-01,6,6,6,0,3,0.5,0.42856666666666665,0.24410686867299192,NA
LLANOS | SUPER CADENA | LA FLORIDA | QUESOS | LA FLORIDA | OTROS TIPOS | BLOQUE/ENTERO | 0-99 GRS,2025-08-01,2026-01-01,6,6,6,0,0,0,22.911416666666668,5.3272725841340876,NA
LLANOS | SUPER CADENA | OTROS FABRICANTES | QUESOS | OTRAS MARCAS | OTROS TIPOS | TROZOS | 100-199 GRS,2025-08-01,2026-01-01,6,6,6,0,0,0,1.7874833333333333,0.72507885479213,NA
PACIFICO | SUPERETES | ALQUERIA | LECHE LARGA VIDA | ALQUERIA | SEMI-DESCREMADA/DESLACTOSADA | BOLSA | 901 - 1000 CC,2025-08-01,2026-01-01,6,6,6,0,0,0,5100.8682,772.8224790425934,NA
SANTANDERES | HIPERMERCADOS | ALPINA | LECHE SABORIZADA | ALPIN | CHOCOLATE | CAJA ASEPTICA | 200-249 CC,2025-08-01,2026-01-01,6,6,6,0,0,0,403.0874833333333,99.18779181829618,NA
SANTANDERES | HIPERMERCADOS | COLANTA | QUESOS | COLANTA | OTROS TIPOS | CREMA/ESPARCIBLE | 100-199 GRS,2025-08-01,2026-01-01,6,6,6,0,0,0,142.88928333333334,35.26680098049249,NA
SANTANDERES | SUPERETES | OTROS FABRICANTES | BEBIDAS LACTEAS | OTRAS MARCAS | YOG CTE + REF LACTEO | VASO | 150-199 CC,2025-08-01,2026-01-01,6,6,6,0,2,0.3333333333333333,12.628275,12.596030884733757,NA
SANTANDERES | TRADICIONAL | GLORIA | BEBIDAS LACTEAS | ALGARRA | YOG CTE + REF LACTEO | VASO | 150-199 CC,2025-08-01,2026-01-01,6,6,6,0,0,0,562.9639833333333,391.5280036681179,NA
SANTANDERES | SUPERETES | PRODUCTOS LACTEOS COLFRANCE | BEBIDAS LACTEAS | COLFRANCE | AVENA | BOLSA | 200-249 CC,2025-09-01,2026-01-01,5,5,5,0,0,0,994.57494,82.04815859416343,NA
ANTIOQUIA | SUPERETES | POSTOBON | BEBIDAS LACTEAS | BILAC | AVENA | CAJA ASEPTICA | 200-249 CC,2025-08-01,2025-11-01,4,4,4,0,1,0.25,7.7898,3.7923041808378195,NA
PACIFICO | CONS LOCAL | GLORIA | BEBIDAS LACTEAS | ALGARRA | YOG CTE + REF LACTEO | VASO | 150-199 CC,2025-08-01,2025-10-01,3,3,3,0,1,0.3333333333333333,131.55705,37.35100652787019,NA
ANTIOQUIA | SUPER CADENA | DEJA-MU | BEBIDAS LACTEAS | DEJA-MU | YOG CTE + REF LACTEO | OTROS EMPAQUES | 1000-1500 CC,2025-08-01,2025-09-01,2,2,2,0,2,1,NA,NA,NA
ATLANTICO | SUPERETES | ALPINA | LECHE SABORIZADA | ALPIN | CHOCOLATE | BOLSA | 200-249 CC,2025-12-01,2026-01-01,2,2,2,0,0,0,68.029,55.55681411240209,NA
ATLANTICO | TRADICIONAL | OTROS FABRICANTES | LECHE SABORIZADA | OTRAS MARCAS | VAINILLA | CAJA ASEPTICA | 150-199 CC,2025-08-01,2025-09-01,2,2,2,0,1,0.5,78.31400000000001,NA,NA
PACIFICO | SUPER CADENA | OTROS FABRICANTES | BEBIDAS LACTEAS | OTRAS MARCAS | YOG CTE + REF LACTEO | BOTELLA | 200-249 CC,2025-12-01,2026-01-01,2,2,2,0,0,0,0.6,0.7677765430123533,NA
ANTIOQUIA | SUPER CADENA | CELEMA | LECHE SABORIZADA | CELEMA | CHOCOLATE | CAJA ASEPTICA | 250-499 CC,2026-01-01,2026-01-01,1,1,1,0,0,0,16.8831,NA,NA
